2023-12-10 01:07:45,512: Executor: thread, n_jobs: 1, Result: 1.0000007853979547, Time: 0.13502120971679688
2023-12-10 01:07:45,653: Executor: process, n_jobs: 1, Result: 1.0000007853979547, Time: 0.14095282554626465
2023-12-10 01:07:59,510: Executor: thread, n_jobs: 1, Result: 1.007833419873582, Time: 3.0279159545898438e-05
2023-12-10 01:07:59,510: Executor: process, n_jobs: 1, Result: 1.007833419873582, Time: 1.430511474609375e-05
2023-12-10 01:07:59,513: Executor: thread, n_jobs: 2, Result: 1.007833419873582, Time: 0.003047943115234375
2023-12-10 01:07:59,515: Executor: process, n_jobs: 2, Result: 1.007833419873582, Time: 0.0011739730834960938
2023-12-10 01:07:59,516: Executor: thread, n_jobs: 3, Result: 1.007833419873582, Time: 0.001171112060546875
2023-12-10 01:07:59,517: Executor: process, n_jobs: 3, Result: 1.007833419873582, Time: 0.001287698745727539
2023-12-10 01:07:59,518: Executor: thread, n_jobs: 4, Result: 1.007833419873582, Time: 0.001306295394897461
2023-12-10 01:07:59,520: Executor: process, n_jobs: 4, Result: 1.007833419873582, Time: 0.0012574195861816406
2023-12-10 01:07:59,521: Executor: thread, n_jobs: 5, Result: 1.007833419873582, Time: 0.001333475112915039
2023-12-10 01:07:59,523: Executor: process, n_jobs: 5, Result: 1.007833419873582, Time: 0.001422882080078125
2023-12-10 01:07:59,524: Executor: thread, n_jobs: 6, Result: 1.007833419873582, Time: 0.0013332366943359375
2023-12-10 01:07:59,525: Executor: process, n_jobs: 6, Result: 1.007833419873582, Time: 0.0013446807861328125
2023-12-10 01:07:59,527: Executor: thread, n_jobs: 7, Result: 1.007833419873582, Time: 0.0014255046844482422
2023-12-10 01:07:59,529: Executor: process, n_jobs: 7, Result: 1.007833419873582, Time: 0.0016226768493652344
2023-12-10 01:07:59,530: Executor: thread, n_jobs: 8, Result: 1.007833419873582, Time: 0.0014219284057617188
2023-12-10 01:07:59,532: Executor: process, n_jobs: 8, Result: 1.007833419873582, Time: 0.0014965534210205078
2023-12-10 01:07:59,533: Executor: thread, n_jobs: 9, Result: 1.007833419873582, Time: 0.0015811920166015625
2023-12-10 01:07:59,535: Executor: process, n_jobs: 9, Result: 1.007833419873582, Time: 0.0015130043029785156
2023-12-10 01:07:59,536: Executor: thread, n_jobs: 10, Result: 1.007833419873582, Time: 0.0014951229095458984
2023-12-10 01:07:59,538: Executor: process, n_jobs: 10, Result: 1.007833419873582, Time: 0.0016109943389892578
2023-12-10 01:07:59,540: Executor: thread, n_jobs: 11, Result: 1.007833419873582, Time: 0.0016210079193115234
2023-12-10 01:07:59,541: Executor: process, n_jobs: 11, Result: 1.007833419873582, Time: 0.0015652179718017578
